"<HEADER software/>"
EwEVersion,"6.7.0.19005 (compiled 6/26/1943)"
Date,"11/20/2024 9:57:14 AM"
"<HEADER ecopath/>"
ModelName,"OSW high res model"
ModelSource,"C:\Users\holden.harris\Documents\Research\R03 OSW\NCEAS GEI-Wind\EwEE Strawman Model\OSW strawman.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"sim01_test run"
TimeSeries,-
StartYear,2020
"<HEADER ecospace/>"
EcospaceScenario,sp01_base
MapRows,60
MapCols,60
MapCellLength,0.5
MapCellSize,500
MapLatitude,0
MapLongitude,0
NoActiveCells,3600
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\holden.harris\Documents\Research\R03 OSW\NCEAS GEI-Wind\EwEE Strawman Model\OSW strawman STconfig.xml"
"<HEADER extra/>"
Data,"Average regional value by fleet, group (1/kg x t/km^2)"
Area,"Region 0"
Number_of_cells,3600
"<HEADER end/>"

TimeStep,"fishery|big fish"
1,0.0963294
2,0.09606448
3,0.09581829
4,0.09558181
5,0.09535451
6,0.09513578
7,0.09492552
8,0.09472349
9,0.09452998
10,0.09438828
11,0.09425877
12,0.09413528
13,0.09401653
14,0.09390271
15,0.09379324
16,0.09368789
17,0.09358661
18,0.09348896
19,0.09343462
20,0.09338511
21,0.0933376
22,0.09329136
23,0.09324607
24,0.09320159
25,0.09315837
26,0.09311584
27,0.09307387
28,0.09303279
29,0.09299211
30,0.09295211
31,0.09291243
32,0.09287329
33,0.09283431
34,0.09279569
35,0.09275758
36,0.09271935
37,0.09268147
38,0.09264361
39,0.09260582
40,0.09256796
41,0.09253036
42,0.09249243
43,0.09245462
44,0.09241703
45,0.09237886
46,0.09234077
47,0.09230268
48,0.09226443
49,0.09222609
50,0.0921878
51,0.09214911
52,0.09211043
53,0.09207172
54,0.09203286
55,0.09199388
56,0.09195508
57,0.09191597
58,0.09187654
59,0.09183743
60,0.09179864
61,0.09175934
62,0.09172022
63,0.09168118
64,0.09164206
65,0.09160297
66,0.09156398
67,0.09152532
68,0.09148664
69,0.09144806
70,0.09140979
71,0.09137158
72,0.09133328
73,0.09129583
74,0.09125796
75,0.09122075
76,0.09118342
77,0.09114637
78,0.09110972
79,0.09107298
80,0.09103662
81,0.0910005
82,0.09096465
83,0.09092903
84,0.09089363
85,0.09085868
86,0.09082396
87,0.09078948
88,0.09075521
89,0.09072142
90,0.09068772
91,0.09065449
92,0.09062167
93,0.09058913
94,0.09055696
95,0.09052507
96,0.09049357
97,0.09046245
98,0.09043164
99,0.09040139
100,0.09037128
101,0.09034152
102,0.09031221
103,0.09028301
104,0.09025445
105,0.09022591
106,0.09019799
107,0.09017001
108,0.09014253
109,0.09011543
110,0.09008852
111,0.09006191
112,0.09003572
113,0.09000974
114,0.0899841
115,0.08995862
116,0.08993337
117,0.08990848
118,0.089884
119,0.08985943
120,0.0898354
121,0.08981144
122,0.08978785
123,0.08976442
124,0.08974098
125,0.08971796
126,0.0896952
127,0.08967257
128,0.08964988
129,0.08962781
130,0.08960577
131,0.08958351
132,0.08956189
133,0.08954026
134,0.08951854
135,0.08949722
136,0.08947606
137,0.0894549
138,0.08943374
139,0.08941283
140,0.08939206
141,0.08937134
142,0.08935073
143,0.08933045
144,0.08930989
145,0.08928937
146,0.0892693
147,0.08924916
148,0.08922893
149,0.08920907
150,0.08918922
151,0.08916917
152,0.08914931
153,0.08912989
154,0.08910996
155,0.08909051
156,0.08907107
157,0.08905146
158,0.0890321
159,0.08901289
160,0.0889937
161,0.08897425
162,0.0889555
163,0.08893623
164,0.08891729
165,0.08889831
166,0.0888796
167,0.08886086
168,0.08884191
169,0.08882342
170,0.08880487
171,0.08878645
172,0.0887681
173,0.08874967
174,0.08873142
175,0.08871324
176,0.08869534
177,0.08867735
178,0.08865931
179,0.08864163
180,0.08862378
181,0.0886061
182,0.08858891
183,0.08857126
184,0.08855399
185,0.0885367
186,0.08851942
187,0.08850256
188,0.08848552
189,0.0884688
190,0.08845203
191,0.08843539
192,0.08841904
193,0.08840271
194,0.08838631
195,0.08837027
196,0.08835413
197,0.0883381
198,0.08832214
199,0.08830659
200,0.088291
201,0.08827551
202,0.08826016
203,0.08824489
204,0.08822969
205,0.0882147
206,0.0882
207,0.08818509
208,0.08817046
209,0.08815605
210,0.0881416
211,0.08812743
212,0.08811307
213,0.08809914
214,0.08808506
215,0.08807133
216,0.08805765
217,0.08804393
218,0.08803064
219,0.08801726
220,0.08800384
221,0.08799069
222,0.08797763
223,0.08796482
224,0.08795192
225,0.08793923
226,0.08792647
227,0.08791415
228,0.08790182
229,0.08788929
230,0.08787718
231,0.08786527
232,0.08785318
233,0.08784116
234,0.08782952
235,0.08781771
236,0.08780601
237,0.08779442
238,0.08778296
239,0.08777174
240,0.08776058
