"<HEADER software/>"
EwEVersion,"6.7.0.19005 (compiled 6/26/1943)"
Date,"11/20/2024 9:38:30 AM"
"<HEADER ecopath/>"
ModelName,"OSW high res model"
ModelSource,"C:\Users\holden.harris\Documents\Research\R03 OSW\NCEAS GEI-Wind\EwEE Strawman Model\OSW strawman.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"sim01_test run"
TimeSeries,-
StartYear,2020
"<HEADER ecospace/>"
EcospaceScenario,sp02_+SIW
MapRows,60
MapCols,60
MapCellLength,0.5
MapCellSize,500
MapLatitude,0
MapLongitude,0
NoActiveCells,3600
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\holden.harris\Documents\Research\R03 OSW\NCEAS GEI-Wind\EwEE Strawman Model\OSW strawman STconfig.xml"
"Layer 1 SIW","SIW grid"
"<HEADER extra/>"
Data,"Average regional biomass by group (t/km^2)"
Area,"Region 0"
Number_of_cells,3600
"<HEADER end/>"

Year,"big fish","medium fish","small fish","mobile inverts","sessile epifauna",zooplankton,phytoplankton,macrolagae,detritus
1,0.4278876,2.225045,3.587518,8.723609,51.3474,74.99649,61.07473,263.6039,384.4463
2,0.4209501,2.203058,3.622258,8.666442,51.26778,74.63557,61.07585,263.6975,384.1302
3,0.4185505,2.143016,3.634427,8.68397,51.09594,74.56007,61.25574,263.7472,384.8146
4,0.4165303,2.108978,3.634146,8.72931,51.11349,74.75962,61.30843,263.7425,385.2346
5,0.4142942,2.106662,3.638273,8.767058,51.20364,74.85195,61.22092,263.7101,384.9559
6,0.4119591,2.124939,3.644957,8.770245,51.19572,74.7597,61.1721,263.6777,384.6476
7,0.4098023,2.140939,3.646425,8.744838,51.13623,74.68908,61.21071,263.6675,384.731
8,0.4079562,2.147877,3.644515,8.724117,51.13092,74.72643,61.24591,263.6784,384.9206
9,0.4064206,2.148009,3.645512,8.718061,51.17021,74.7715,61.23198,263.6948,384.9178
10,0.4051135,2.144076,3.649933,8.720986,51.18787,74.75628,61.21161,263.7059,384.8239
11,0.4041005,2.144581,3.70322,8.879876,51.52613,74.62132,61.22913,270.8525,385.8633
12,0.4029239,2.189289,3.822257,9.354421,51.90207,74.50567,61.33284,273.7572,386.9607
13,0.4025037,2.295561,3.854866,9.34436,51.82381,74.55286,61.43713,273.8295,387.4558
14,0.4033517,2.350353,3.854019,9.214158,51.95954,74.66618,61.43382,273.9274,387.6015
15,0.4056665,2.333175,3.858547,9.178979,52.08019,74.64568,61.38911,274.0414,387.4504
16,0.4076992,2.292215,3.863908,9.20474,52.05645,74.57084,61.40336,274.0885,387.45
17,0.4089133,2.269084,3.862468,9.238585,52.0029,74.57869,61.44223,274.0774,387.6084
18,0.4097463,2.26508,3.858001,9.262021,52.0011,74.6335,61.44058,274.0477,387.6436
19,0.4102205,2.269808,3.855696,9.275125,52.01477,74.64409,61.41271,274.0224,387.5288
20,0.4104674,2.278551,3.85497,9.276088,52.00459,74.61578,61.40361,274.0068,387.4554
