"<HEADER software/>"
EwEVersion,"6.7.0.19005 (compiled 6/26/1943)"
Date,"11/20/2024 9:38:30 AM"
"<HEADER ecopath/>"
ModelName,"OSW high res model"
ModelSource,"C:\Users\holden.harris\Documents\Research\R03 OSW\NCEAS GEI-Wind\EwEE Strawman Model\OSW strawman.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"sim01_test run"
TimeSeries,-
StartYear,2020
"<HEADER ecospace/>"
EcospaceScenario,sp02_+SIW
MapRows,60
MapCols,60
MapCellLength,0.5
MapCellSize,500
MapLatitude,0
MapLongitude,0
NoActiveCells,3600
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\holden.harris\Documents\Research\R03 OSW\NCEAS GEI-Wind\EwEE Strawman Model\OSW strawman STconfig.xml"
"Layer 1 SIW","SIW grid"
"<HEADER extra/>"
Data,"Average regional consumption by pred, prey (t/km^2)"
Area,"Region 0"
Number_of_cells,3600
"<HEADER end/>"

TimeStep,"big fish|medium fish","big fish|small fish","big fish|mobile inverts","medium fish|mobile inverts","medium fish|sessile epifauna","small fish|zooplankton","small fish|phytoplankton","small fish|macrolagae","mobile inverts|sessile epifauna","mobile inverts|macrolagae","mobile inverts|detritus","sessile epifauna|zooplankton","sessile epifauna|phytoplankton",zooplankton|phytoplankton
1,0.7770541,0.8016784,0.2028303,18.1261,2.018219,26.8751,4.689025,11.27829,69.82922,63.25587,41.79914,226.7045,233.7133,4493.545
2,0.7818983,0.799352,0.2016368,18.12508,2.025229,26.89585,4.688099,11.2801,69.8651,63.22731,41.72599,226.9575,233.7291,4493.556
3,0.7868303,0.7970946,0.2004176,18.1232,2.032213,26.91589,4.687648,11.28229,69.89555,63.19782,41.65042,227.1862,233.7452,4493.447
4,0.7917669,0.7948923,0.1991751,18.1204,2.039098,26.93519,4.687708,11.28484,69.91998,63.16766,41.57327,227.3879,233.7614,4493.225
5,0.7966379,0.7927433,0.1979147,18.11662,2.04582,26.95374,4.688304,11.28776,69.93808,63.13702,41.49524,227.5606,233.7774,4492.9
6,0.8013985,0.7906469,0.1966414,18.11188,2.052329,26.97154,4.689456,11.29102,69.94961,63.10614,41.41703,227.7027,233.7934,4492.476
7,0.8058482,0.7886018,0.195361,18.10546,2.058509,26.98857,4.691169,11.29462,69.95464,63.07516,41.33929,227.8139,233.8096,4491.967
8,0.8100547,0.7866103,0.1940807,18.09807,2.064381,27.00487,4.693442,11.29854,69.95338,63.04435,41.26278,227.894,233.8263,4491.38
9,0.8139776,0.7846713,0.1928066,18.08988,2.069923,27.02044,4.69627,11.30274,69.94615,63.01386,41.18813,227.9432,233.8438,4490.733
10,0.8177107,0.7828878,0.1915696,18.08103,2.075114,27.0353,4.699631,11.30721,69.93338,62.98392,41.11591,227.9627,233.8625,4490.032
11,0.821153,0.781178,0.1903546,18.07169,2.079946,27.04948,4.703498,11.3119,69.91556,62.95466,41.04663,227.9539,233.8826,4489.292
12,0.8242542,0.7795243,0.1891626,18.06192,2.084406,27.063,4.707841,11.31679,69.89318,62.9262,40.98069,227.9183,233.9046,4488.521
13,0.826961,0.7779191,0.1879964,18.05175,2.088481,27.0759,4.712617,11.32185,69.86682,62.8987,40.91845,227.858,233.9283,4487.736
14,0.829125,0.7763582,0.1868693,18.04161,2.092106,27.08822,4.717783,11.32702,69.83766,62.87271,40.86127,227.7753,233.9542,4486.945
15,0.8307541,0.7748393,0.1857772,18.03103,2.095289,27.09998,4.723293,11.33229,69.80582,62.848,40.80857,227.6725,233.9822,4486.162
16,0.8318823,0.7733627,0.1847218,18.02004,2.098051,27.11125,4.729094,11.3376,69.77175,62.8246,40.76035,227.5522,234.0123,4485.392
17,0.8325316,0.7719262,0.1837053,18.00881,2.100411,27.12208,4.735131,11.34292,69.73602,62.80251,40.71669,227.4171,234.0442,4484.65
18,0.8327199,0.7705285,0.1827306,17.99742,2.102385,27.13251,4.741348,11.34823,69.69915,62.7818,40.6776,227.2699,234.078,4483.943
19,0.832588,0.7692654,0.181822,17.98601,2.103991,27.14258,4.747691,11.35348,69.66175,62.76254,40.64314,227.1134,234.1134,4483.279
