"<HEADER software/>"
EwEVersion,"6.7.0.19005 (compiled 6/26/1943)"
Date,"11/20/2024 9:41:36 AM"
"<HEADER ecopath/>"
ModelName,"OSW high res model"
ModelSource,"C:\Users\holden.harris\Documents\Research\R03 OSW\NCEAS GEI-Wind\EwEE Strawman Model\OSW strawman.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"sim01_test run"
TimeSeries,-
StartYear,2020
"<HEADER ecospace/>"
EcospaceScenario,sp03_+ecoengineer
MapRows,60
MapCols,60
MapCellLength,0.5
MapCellSize,500
MapLatitude,0
MapLongitude,0
NoActiveCells,3600
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\holden.harris\Documents\Research\R03 OSW\NCEAS GEI-Wind\EwEE Strawman Model\OSW strawman STconfig.xml"
"Layer 1 Biofouling complexity","Epifauna Complexity"
"<HEADER extra/>"
Data,"Average regional consumption by pred, prey (t/km^2)"
Area,"Region 0"
Number_of_cells,3600
"<HEADER end/>"

Year,"big fish|medium fish","big fish|small fish","big fish|mobile inverts","medium fish|mobile inverts","medium fish|sessile epifauna","small fish|zooplankton","small fish|phytoplankton","small fish|macrolagae","mobile inverts|sessile epifauna","mobile inverts|macrolagae","mobile inverts|detritus","sessile epifauna|zooplankton","sessile epifauna|phytoplankton",zooplankton|phytoplankton
1,0.9374416,0.9597719,0.1826344,22.74559,2.121752,35.43304,6.016518,13.87499,78.85326,83.29462,48.97664,209.9279,209.4618,4515.379
2,0.9264686,0.9817169,0.1875973,22.90428,2.092687,35.43856,6.021614,13.86299,78.60279,83.75826,49.30696,209.5287,208.8023,4516.296
3,0.9589657,0.9813135,0.1872184,22.90735,2.100139,35.39939,5.999718,13.83525,78.36167,83.68948,49.10593,209.632,208.5278,4516.813
4,0.9920058,0.9666061,0.1827467,22.76996,2.126283,35.3941,5.986402,13.82888,78.33128,83.29858,48.66323,209.9421,208.7723,4516.348
5,0.9957622,0.9538574,0.1790247,22.6724,2.142121,35.42366,6.000578,13.84983,78.41586,83.04668,48.45699,210.0035,209.1589,4515.341
6,0.977273,0.9506101,0.1783371,22.68086,2.138548,35.46397,6.023859,13.87199,78.46072,83.07131,48.56475,209.821,209.2967,4514.919
7,0.9599721,0.9532033,0.1795183,22.72207,2.127868,35.49573,6.031977,13.87619,78.47237,83.20681,48.74536,209.7303,209.2,4515.357
8,0.9502243,0.9575492,0.1811197,22.7502,2.119849,35.50751,6.025233,13.86797,78.50537,83.33099,48.86044,209.7897,209.0579,4515.907
9,0.9484162,0.9613194,0.1822644,22.7783,2.116034,35.49805,6.017687,13.85977,78.51545,83.41618,48.91047,209.8095,208.9467,4516.053
10,0.9521841,0.9623469,0.1823885,22.78932,2.115986,35.48158,6.01529,13.8562,78.47074,83.42959,48.89499,209.7595,208.8898,4515.963
11,0.9585914,0.959904,0.1815477,22.77586,2.119794,35.4752,6.015554,13.85614,78.42458,83.37174,48.82471,209.7495,208.9076,4515.876
12,0.9639201,0.9555688,0.1802972,22.75385,2.125515,35.48391,6.017272,13.85906,78.41755,83.2888,48.74223,209.7959,208.9824,4515.782
13,0.9656288,0.9516843,0.1792192,22.73911,2.129918,35.50104,6.021388,13.86468,78.43276,83.22787,48.69031,209.8296,209.0632,4515.643
14,0.9636717,0.9495203,0.17862,22.73391,2.131303,35.51808,6.02675,13.87066,78.4445,83.20596,48.68055,209.8234,209.1112,4515.534
15,0.9598434,0.9490776,0.1785291,22.73525,2.130224,35.53024,6.030423,13.87411,78.45112,83.21718,48.70035,209.806,209.1189,4515.526
16,0.9560726,0.9497653,0.1787924,22.74133,2.128069,35.53605,6.031129,13.87428,78.45801,83.24763,48.73216,209.7979,209.0976,4515.598
17,0.9535363,0.9508328,0.1791621,22.74957,2.125957,35.53621,6.029997,13.8726,78.46174,83.28083,48.76133,209.7934,209.0635,4515.68
18,0.9526594,0.9515553,0.1794058,22.75587,2.124655,35.53335,6.028634,13.87077,78.45811,83.30177,48.77727,209.787,209.0331,4515.728
19,0.9532456,0.9514813,0.1794007,22.75751,2.124579,35.53092,6.027857,13.86975,78.45023,83.30322,48.77556,209.7835,209.0191,4515.735
20,0.9545944,0.9506273,0.1791632,22.75493,2.125611,35.53127,6.027918,13.8699,78.44402,83.28844,48.75983,209.7869,209.0251,4515.709
