"<HEADER software/>"
EwEVersion,"6.7.0.19005 (compiled 6/26/1943)"
Date,"11/20/2024 9:41:36 AM"
"<HEADER ecopath/>"
ModelName,"OSW high res model"
ModelSource,"C:\Users\holden.harris\Documents\Research\R03 OSW\NCEAS GEI-Wind\EwEE Strawman Model\OSW strawman.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"sim01_test run"
TimeSeries,-
StartYear,2020
"<HEADER ecospace/>"
EcospaceScenario,sp03_+ecoengineer
MapRows,60
MapCols,60
MapCellLength,0.5
MapCellSize,500
MapLatitude,0
MapLongitude,0
NoActiveCells,3600
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\holden.harris\Documents\Research\R03 OSW\NCEAS GEI-Wind\EwEE Strawman Model\OSW strawman STconfig.xml"
"Layer 1 Biofouling complexity","Epifauna Complexity"
"<HEADER extra/>"
Data,"Average regional biomass by group (t/km^2)"
Area,"Region 1"
Number_of_cells,56
"<HEADER end/>"

Year,"big fish","medium fish","small fish","mobile inverts","sessile epifauna",zooplankton,phytoplankton,macrolagae,detritus
1,0.5270771,2.580174,4.725523,10.99986,47.57553,75.21725,60.72093,264.0989,382.4706
2,0.5247076,2.65536,4.715257,10.97232,47.49733,75.28651,60.70566,263.9188,382.4108
3,0.5232183,2.71921,4.706643,10.89782,47.52835,75.28255,60.66436,263.9012,382.2341
4,0.5226233,2.723155,4.712018,10.84638,47.59457,75.22768,60.65812,264.0102,382.1946
5,0.5225158,2.687078,4.722852,10.85197,47.62454,75.20281,60.68754,264.111,382.3271
6,0.522311,2.653412,4.72832,10.88391,47.61267,75.22307,60.70947,264.1273,382.4434
7,0.5217822,2.644369,4.727688,10.90491,47.59672,75.24583,60.70493,264.089,382.4349
8,0.5209984,2.648868,4.7259,10.9143,47.58757,75.24682,60.69182,264.0474,382.368
9,0.5201383,2.660568,4.724612,10.91542,47.57322,75.24048,60.68748,264.0169,382.3319
10,0.5193726,2.673049,4.723375,10.90637,47.56295,75.24114,60.68862,264.0047,382.3314
11,0.5187946,2.681053,4.723053,10.8932,47.56923,75.24255,60.68792,264.015,382.3336
12,0.5184075,2.682275,4.724688,10.88417,47.58445,75.23794,60.6875,264.0387,382.3369
13,0.5181472,2.678012,4.727486,10.88174,47.59513,75.23264,60.69076,264.0609,382.3541
14,0.5179262,2.671585,4.729764,10.88381,47.59842,75.23243,60.69512,264.0723,382.3764
15,0.5176786,2.666163,4.730762,10.88794,47.59785,75.23516,60.69681,264.0725,382.3867
16,0.517382,2.663506,4.730802,10.89243,47.59496,75.23688,60.69603,264.0654,382.383
17,0.5170498,2.663886,4.730401,10.89562,47.59011,75.23755,60.69485,264.0552,382.3751
18,0.5167133,2.666448,4.729904,10.89631,47.58556,75.23832,60.6939,264.0467,382.3685
19,0.5164046,2.669703,4.729625,10.8946,47.58386,75.23866,60.693,264.0431,382.3635
20,0.516144,2.672206,4.729804,10.89171,47.58532,75.23778,60.69256,264.0451,382.3615
