"<HEADER software/>"
EwEVersion,"6.7.0.19005 (compiled 6/26/1943)"
Date,"11/20/2024 9:41:36 AM"
"<HEADER ecopath/>"
ModelName,"OSW high res model"
ModelSource,"C:\Users\holden.harris\Documents\Research\R03 OSW\NCEAS GEI-Wind\EwEE Strawman Model\OSW strawman.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"sim01_test run"
TimeSeries,-
StartYear,2020
"<HEADER ecospace/>"
EcospaceScenario,sp03_+ecoengineer
MapRows,60
MapCols,60
MapCellLength,0.5
MapCellSize,500
MapLatitude,0
MapLongitude,0
NoActiveCells,3600
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\holden.harris\Documents\Research\R03 OSW\NCEAS GEI-Wind\EwEE Strawman Model\OSW strawman STconfig.xml"
"Layer 1 Biofouling complexity","Epifauna Complexity"
"<HEADER extra/>"
Data,"Average regional catch by fleet, group (t/km^2)"
Area,"Region 0"
Number_of_cells,3600
"<HEADER end/>"

TimeStep,"fishery|big fish"
1,0.1153394
2,0.1153273
3,0.1153086
4,0.1152836
5,0.1152526
6,0.1152168
7,0.1151751
8,0.115149
9,0.1151219
10,0.1150925
11,0.1150614
12,0.1150287
13,0.1149942
14,0.1149583
15,0.1149208
16,0.1148826
17,0.1148431
18,0.114803
19,0.1147623
20,0.1147216
21,0.1146809
22,0.1146404
23,0.1145998
24,0.1145605
25,0.1145216
26,0.1144833
27,0.1144464
28,0.1144108
29,0.1143756
30,0.1143416
31,0.1143094
32,0.1142782
33,0.1142482
34,0.1142202
35,0.1141934
36,0.1141685
37,0.114145
38,0.1141235
39,0.1141037
40,0.1140854
41,0.1140685
42,0.1140536
43,0.1140398
44,0.1140274
45,0.1140166
46,0.1140071
47,0.1139984
48,0.1139908
49,0.113984
50,0.1139782
51,0.1139731
52,0.1139685
53,0.1139644
54,0.1139605
55,0.1139568
56,0.1139532
57,0.1139496
58,0.1139461
59,0.1139427
60,0.1139386
61,0.1139344
62,0.1139296
63,0.1139248
64,0.1139191
65,0.1139131
66,0.1139065
67,0.1138995
68,0.113892
69,0.1138841
70,0.1138759
71,0.1138668
72,0.1138576
73,0.1138474
74,0.1138369
75,0.113826
76,0.113814
77,0.1138018
78,0.113789
79,0.1137752
80,0.1137611
81,0.1137464
82,0.1137309
83,0.1137152
84,0.1136989
85,0.113682
86,0.1136646
87,0.1136466
88,0.1136284
89,0.1136096
90,0.1135903
91,0.1135708
92,0.1135507
93,0.1135305
94,0.11351
95,0.1134893
96,0.1134683
97,0.1134474
98,0.1134259
99,0.1134044
100,0.1133827
101,0.1133612
102,0.1133395
103,0.1133179
104,0.1132963
105,0.1132746
106,0.1132533
107,0.1132319
108,0.1132105
109,0.1131897
110,0.1131689
111,0.1131483
112,0.113128
113,0.1131077
114,0.1130881
115,0.1130685
116,0.1130492
117,0.1130305
118,0.1130122
119,0.112994
120,0.1129764
121,0.1129593
122,0.1129423
123,0.1129257
124,0.1129097
125,0.1128939
126,0.1128791
127,0.1128642
128,0.1128502
129,0.1128363
130,0.1128231
131,0.1128102
132,0.1127976
133,0.1127855
134,0.1127738
135,0.1127626
136,0.1127517
137,0.1127412
138,0.1127313
139,0.1127216
140,0.1127122
141,0.1127032
142,0.1126946
143,0.1126864
144,0.1126785
145,0.1126709
146,0.1126635
147,0.1126565
148,0.1126496
149,0.112643
150,0.1126366
151,0.1126304
152,0.1126244
153,0.1126185
154,0.1126127
155,0.112607
156,0.1126015
157,0.1125963
158,0.1125909
159,0.1125857
160,0.1125805
161,0.1125752
162,0.11257
163,0.112565
164,0.11256
165,0.1125549
166,0.1125499
167,0.1125449
168,0.1125398
169,0.1125345
170,0.112529
171,0.1125237
172,0.1125181
173,0.1125126
174,0.1125069
175,0.1125013
176,0.1124954
177,0.1124893
178,0.1124832
179,0.1124772
180,0.1124706
181,0.1124644
182,0.1124579
183,0.1124512
184,0.1124444
185,0.1124377
186,0.1124307
187,0.1124236
188,0.1124161
189,0.1124089
190,0.1124012
191,0.1123938
192,0.1123865
193,0.1123787
194,0.1123709
195,0.112363
196,0.1123552
197,0.1123471
198,0.112339
199,0.1123308
200,0.1123227
201,0.1123145
202,0.1123065
203,0.1122982
204,0.11229
205,0.1122818
206,0.1122734
207,0.1122653
208,0.1122572
209,0.1122489
210,0.1122407
211,0.1122327
212,0.1122246
213,0.1122165
214,0.1122086
215,0.1122009
216,0.1121931
217,0.1121854
218,0.1121778
219,0.1121702
220,0.1121626
221,0.1121551
222,0.1121477
223,0.1121406
224,0.1121336
225,0.1121266
226,0.1121197
227,0.112113
228,0.1121065
229,0.1120999
230,0.1120936
231,0.1120873
232,0.1120815
233,0.1120754
234,0.1120698
235,0.112064
236,0.1120585
237,0.112053
238,0.1120477
239,0.1120426
240,0.1120374
