"<HEADER software/>"
EwEVersion,"6.7.0.19005 (compiled 6/26/1943)"
Date,"11/20/2024 9:43:49 AM"
"<HEADER ecopath/>"
ModelName,"OSW high res model"
ModelSource,"C:\Users\holden.harris\Documents\Research\R03 OSW\NCEAS GEI-Wind\EwEE Strawman Model\OSW strawman.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"sim01_test run"
TimeSeries,-
StartYear,2020
"<HEADER ecospace/>"
EcospaceScenario,sp04_+SIW+ecoengineer
MapRows,60
MapCols,60
MapCellLength,0.5
MapCellSize,500
MapLatitude,0
MapLongitude,0
NoActiveCells,3600
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\holden.harris\Documents\Research\R03 OSW\NCEAS GEI-Wind\EwEE Strawman Model\OSW strawman STconfig.xml"
"Layer 1 SIW","SIW grid"
"Layer 1 Biofouling complexity","Epifauna Complexity"
"<HEADER extra/>"
Data,"Average regional catch by fleet, group (t/km^2)"
Area,"Region 0"
Number_of_cells,3600
"<HEADER end/>"

Year,"fishery|big fish"
1,0.1151964
2,0.1147806
3,0.1143331
4,0.114055
5,0.1139596
6,0.1139003
7,0.1137786
8,0.1135784
9,0.1133288
10,0.1130801
11,0.1172459
12,0.1175763
13,0.1175604
14,0.1178067
15,0.1183914
16,0.1188639
17,0.1191395
18,0.1193507
19,0.1195249
20,0.1196956
