"<HEADER software/>"
EwEVersion,"6.7.0.19005 (compiled 6/26/1943)"
Date,"11/20/2024 9:43:49 AM"
"<HEADER ecopath/>"
ModelName,"OSW high res model"
ModelSource,"C:\Users\holden.harris\Documents\Research\R03 OSW\NCEAS GEI-Wind\EwEE Strawman Model\OSW strawman.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"sim01_test run"
TimeSeries,-
StartYear,2020
"<HEADER ecospace/>"
EcospaceScenario,sp04_+SIW+ecoengineer
MapRows,60
MapCols,60
MapCellLength,0.5
MapCellSize,500
MapLatitude,0
MapLongitude,0
NoActiveCells,3600
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\holden.harris\Documents\Research\R03 OSW\NCEAS GEI-Wind\EwEE Strawman Model\OSW strawman STconfig.xml"
"Layer 1 SIW","SIW grid"
"Layer 1 Biofouling complexity","Epifauna Complexity"
"<HEADER extra/>"
Data,"Average regional consumption by pred, prey (t/km^2)"
Area,"Region 0"
Number_of_cells,3600
"<HEADER end/>"

TimeStep,"big fish|medium fish","big fish|small fish","big fish|mobile inverts","medium fish|mobile inverts","medium fish|sessile epifauna","small fish|zooplankton","small fish|phytoplankton","small fish|macrolagae","mobile inverts|sessile epifauna","mobile inverts|macrolagae","mobile inverts|detritus","sessile epifauna|zooplankton","sessile epifauna|phytoplankton",zooplankton|phytoplankton
1,0.960792,0.9471552,0.1795717,22.61788,2.141507,35.39112,6.004262,13.87015,78.85592,82.96288,48.66755,210.1914,209.7569,4515.025
2,0.9549213,0.9492292,0.1801377,22.64625,2.137922,35.40296,6.007028,13.87188,78.87324,83.0294,48.73561,210.1488,209.7136,4515.078
3,0.9495674,0.9514402,0.1807085,22.67304,2.134263,35.41346,6.009683,13.87336,78.88393,83.09423,48.80021,210.1026,209.6657,4515.134
4,0.9447345,0.953751,0.1812808,22.6985,2.130574,35.42264,6.012202,13.8746,78.88865,83.15758,48.86139,210.0537,209.6138,4515.195
5,0.940429,0.956126,0.18185,22.72269,2.126895,35.43052,6.014562,13.87558,78.88797,83.21931,48.91907,210.003,209.5587,4515.258
6,0.9365051,0.9585299,0.1824114,22.74471,2.123189,35.43715,6.016743,13.8763,78.88238,83.27911,48.97309,209.9515,209.5012,4515.326
7,0.93301,0.9609312,0.1829616,22.76502,2.11953,35.44257,6.018723,13.87676,78.87235,83.33673,49.02338,209.9001,209.4417,4515.398
8,0.9300345,0.9633706,0.1835101,22.78382,2.115966,35.44683,6.02048,13.87695,78.85849,83.39194,49.06994,209.8495,209.3809,4515.471
9,0.9275102,0.9657731,0.1840442,22.80116,2.112526,35.45001,6.022001,13.87687,78.84129,83.44451,49.11269,209.8006,209.3194,4515.548
10,0.9254332,0.9681086,0.1845597,22.81711,2.109245,35.45217,6.023269,13.87652,78.82126,83.49428,49.15168,209.7539,209.2577,4515.626
11,0.9237917,0.9703558,0.1850538,22.83176,2.106148,35.45337,6.02427,13.8759,78.79891,83.54101,49.18686,209.71,209.1962,4515.708
12,0.9225689,0.9724936,0.1855237,22.84514,2.103258,35.4537,6.024996,13.87502,78.77472,83.58456,49.21821,209.6694,209.1354,4515.791
13,0.9217544,0.9745095,0.1859678,22.85732,2.100595,35.45324,6.025443,13.87389,78.74911,83.62479,49.24577,209.6324,209.0759,4515.872
14,0.9213293,0.9763886,0.1863836,22.86837,2.098176,35.45208,6.025608,13.87252,78.72249,83.6616,49.26952,209.5995,209.0178,4515.957
15,0.9212455,0.9781173,0.1867689,22.87823,2.096003,35.45027,6.02549,13.87093,78.69527,83.69488,49.28949,209.5707,208.9616,4516.038
16,0.921515,0.9796873,0.1871217,22.88705,2.094097,35.44792,6.025098,13.86911,78.6678,83.72449,49.30572,209.5462,208.9077,4516.119
17,0.9221191,0.9810891,0.1874402,22.8949,2.092467,35.44511,6.024439,13.86711,78.64039,83.75039,49.31822,209.526,208.8562,4516.199
18,0.9233956,0.9823186,0.1877227,22.90345,2.091246,35.44191,6.023522,13.86493,78.61333,83.77257,49.32705,209.5102,208.8075,4516.276
19,0.9250913,0.983349,0.1879629,22.91171,2.090366,35.43841,6.022365,13.86261,78.58672,83.79078,49.33202,209.4987,208.7617,4516.35
20,0.9271227,0.984177,0.1881586,22.91926,2.089804,35.43467,6.020984,13.86016,78.56068,83.80486,49.33311,209.4913,208.7191,4516.422
21,0.9294389,0.9848016,0.1883076,22.92584,2.089544,35.43076,6.019399,13.8576,78.53531,83.81471,49.33014,209.488,208.6799,4516.489
22,0.9320089,0.9852245,0.1884084,22.93131,2.089578,35.42678,6.017637,13.85499,78.51077,83.82024,49.32315,209.4885,208.6442,4516.552
23,0.9348029,0.9854517,0.1884608,22.93551,2.089892,35.42278,6.015715,13.85233,78.48714,83.82146,49.31218,209.4927,208.6122,4516.612
